customer_id,tenure_months,monthly_charges,total_charges,data_usage_gb,contract_type,payment_method,churn
SYN-00068,27,88.57,2289.13,6.43,Month-to-month,Mailed check,0
SYN-00069,6,49.69,290.5,20.06,One year,Credit card,0
SYN-00070,34,114.89,3533.75,0.25,One year,Mailed check,0
SYN-00071,57,111.63,5472.76,1.95,Month-to-month,Electronic check,1
SYN-00072,14,68.09,923.63,4.29,One year,Mailed check,1
SYN-00073,33,52.84,1584.96,8.31,Month-to-month,Credit card,0
SYN-00074,10,73.54,722.7,18.57,Two year,Bank transfer,0
SYN-00075,49,104.86,5226.77,26.09,Month-to-month,Bank transfer,0
SYN-00076,34,85.26,2474.54,7.14,One year,Mailed check,1
SYN-00077,24,100.44,2336.18,10.79,Month-to-month,Mailed check,0
SYN-00078,17,73.27,1116.37,60.23,One year,Bank transfer,0
SYN-00079,41,83.29,3499.5,11.89,Month-to-month,Bank transfer,1
SYN-00080,48,48.82,2110.74,7.99,One year,Credit card,1
SYN-00081,67,93.49,6089.41,25.86,Month-to-month,Bank transfer,0
SYN-00082,32,40.24,1237.08,81.9,Two year,Credit card,0
SYN-00083,12,89.48,997.77,8.09,One year,Credit card,0
SYN-00084,60,106.07,6272.07,16.55,One year,Electronic check,1
SYN-00085,45,33.21,1487.21,36.93,Two year,Mailed check,0
SYN-00086,50,81.44,3922.91,6.71,Two year,Mailed check,0
SYN-00087,7,29.51,206.92,8.83,Month-to-month,Electronic check,0
SYN-00088,23,92.57,2228.5,11.67,Month-to-month,Electronic check,0
SYN-00089,55,28.45,1461.25,12.85,Month-to-month,Credit card,0
SYN-00090,60,113.59,6494.51,20.07,Month-to-month,Mailed check,0
SYN-00091,31,33.74,891.66,18.01,One year,Electronic check,1
SYN-00092,58,115.89,6783.5,8.19,Two year,Mailed check,1
SYN-00093,60,100.09,5729.43,38.52,Two year,Mailed check,0
SYN-00094,28,79.37,2070.33,8.54,One year,Electronic check,1
SYN-00095,64,98.26,5463.66,4.04,One year,Electronic check,0
SYN-00096,21,99.51,2148.08,14.66,Two year,Credit card,0
SYN-00097,18,114.6,1916.34,27.52,Two year,Credit card,0
SYN-00098,49,45.34,2191.7,4.69,Month-to-month,Mailed check,1
SYN-00099,46,79.01,3197.87,13.42,One year,Bank transfer,1
SYN-00100,10,29.5,307.48,5.99,Two year,Credit card,1
SYN-00101,60,81.62,4337.39,0.49,Month-to-month,Credit card,1
SYN-00102,15,37.13,495.63,4.17,Month-to-month,Electronic check,1
SYN-00103,58,76.5,4533.71,17.56,Two year,Credit card,0
SYN-00104,1,77.24,79.75,21.08,Two year,Electronic check,1
SYN-00105,57,66.6,3387.84,3.97,Two year,Electronic check,0
SYN-00106,56,72.26,3819.79,14.93,One year,Mailed check,0
SYN-00107,56,96.39,5380.02,8.41,Month-to-month,Bank transfer,0
SYN-00108,48,99.92,4919.29,13.93,Month-to-month,Electronic check,0
SYN-00109,34,69.22,2178.88,0.58,One year,Mailed check,0
SYN-00110,51,79.96,3887.94,2.36,One year,Mailed check,0
SYN-00111,20,113.12,2258.65,3.26,One year,Mailed check,0
SYN-00112,56,31.97,1783.57,5.13,One year,Credit card,0
SYN-00113,40,31.71,1276.76,8.22,Month-to-month,Mailed check,1
SYN-00114,33,28.77,915.22,8.55,One year,Electronic check,0
SYN-00115,36,85.79,2689.79,8.37,Month-to-month,Electronic check,0
SYN-00116,41,61.86,2614.36,2.09,Month-to-month,Electronic check,0
SYN-00117,3,97.43,299.05,43.35,Month-to-month,Electronic check,0
SYN-00118,10,87.12,879.58,6.29,Month-to-month,Bank transfer,0
SYN-00119,18,53.36,835.59,12.05,Two year,Mailed check,1
SYN-00120,9,109.84,880.69,29.76,Month-to-month,Mailed check,0
SYN-00121,32,96.25,3076.06,2.05,Month-to-month,Credit card,0
SYN-00122,48,47.05,1930.09,12.56,One year,Bank transfer,1
SYN-00123,47,56.42,2773.31,7.47,One year,Electronic check,0
SYN-00124,34,51.44,1618.54,25.18,Month-to-month,Mailed check,1
SYN-00125,61,35.76,2167.97,9.89,Month-to-month,Mailed check,0
SYN-00126,41,34.78,1465.21,6.49,Month-to-month,Credit card,1
SYN-00127,6,113.61,633.21,0.2,One year,Mailed check,0
SYN-00128,55,63.79,3206.11,40.53,Month-to-month,Electronic check,1
SYN-00129,41,58.33,2323.97,1.71,Month-to-month,Bank transfer,0
SYN-00130,46,92.97,4132.06,14.67,Month-to-month,Mailed check,1
SYN-00131,41,75.3,2876.83,5.57,One year,Electronic check,1
SYN-00132,40,113.61,4409.68,49.43,Month-to-month,Bank transfer,0
SYN-00133,7,98.03,711.65,2.5,Two year,Electronic check,1
SYN-00134,40,67.94,2564.13,40.65,Month-to-month,Credit card,1
SYN-00135,57,57.64,2921.94,62.04,One year,Credit card,0
SYN-00136,22,118.66,2415.88,4.74,Month-to-month,Mailed check,1
SYN-00137,43,91.78,3665.63,1.67,Month-to-month,Bank transfer,0
SYN-00138,3,115.12,302.61,15.94,Month-to-month,Bank transfer,0
SYN-00139,25,31.85,702.75,4.59,Two year,Bank transfer,0
SYN-00140,32,105.05,3317.6,5.88,Two year,Electronic check,0
SYN-00141,70,83.71,5378.59,20.29,Month-to-month,Mailed check,1
SYN-00142,16,32.19,536.15,31.79,Month-to-month,Electronic check,0
SYN-00143,20,78.83,1416.92,13.95,Two year,Bank transfer,0
SYN-00144,30,88.61,2312.15,24.64,One year,Electronic check,0
SYN-00145,71,21.23,1508.39,1.83,Month-to-month,Bank transfer,0
SYN-00146,61,65.43,4095.83,37.56,Month-to-month,Bank transfer,1
SYN-00147,3,102.54,278.59,2.07,One year,Credit card,1
SYN-00148,17,49.54,749.89,1.79,One year,Mailed check,0
SYN-00149,59,65.85,3446.72,4.58,One year,Electronic check,0
SYN-00150,5,64.23,306.51,11.24,Two year,Bank transfer,0
SYN-00151,61,50.19,2889.17,2.74,Month-to-month,Electronic check,0
SYN-00152,20,111.84,2017.34,38.66,Month-to-month,Electronic check,0
SYN-00153,66,98.13,5563.61,3.78,Month-to-month,Credit card,0
SYN-00154,21,31.06,617.23,32.18,Month-to-month,Credit card,0
SYN-00155,31,119.7,3866.05,37.45,Month-to-month,Bank transfer,0
SYN-00156,47,107.92,4973.35,8.53,Month-to-month,Credit card,0
SYN-00157,9,48.39,413.34,33.71,Month-to-month,Electronic check,0
SYN-00158,40,103.69,3617.28,24.97,One year,Electronic check,1
SYN-00159,36,30.64,993.27,7.83,Month-to-month,Mailed check,1
SYN-00160,56,119.91,6103.6,25.16,Month-to-month,Electronic check,0
SYN-00161,71,86.57,6164.67,17.29,One year,Credit card,1
SYN-00162,48,85.01,4183.89,4.97,One year,Electronic check,1
SYN-00163,30,29.04,897.62,55.76,One year,Bank transfer,0
SYN-00164,29,109.7,3330.55,14.56,Two year,Credit card,0
SYN-00165,30,22.9,718.93,28.01,One year,Bank transfer,0
SYN-00166,58,44.08,2660.44,8.46,Month-to-month,Electronic check,1
SYN-00167,23,34.3,681.9,16.05,Month-to-month,Mailed check,0
SYN-00168,12,97.68,1028.64,4.26,One year,Bank transfer,0
SYN-00169,24,39.82,870.52,5.5,Month-to-month,Credit card,0
SYN-00170,2,111.06,213.36,21.51,Month-to-month,Mailed check,0
SYN-00171,8,85.63,595.57,30.51,Month-to-month,Mailed check,1
SYN-00172,7,23.62,168.51,61.5,Month-to-month,Credit card,0
SYN-00173,55,20.54,1099.59,10.49,Month-to-month,Credit card,1
SYN-00174,52,25.17,1254.49,0.44,Month-to-month,Mailed check,1
SYN-00175,50,80.59,3558.3,2.75,Two year,Electronic check,1
SYN-00176,33,100.15,2976.61,2.87,Two year,Bank transfer,0
SYN-00177,51,43.86,1973.05,50.07,Month-to-month,Credit card,1
SYN-00178,12,104.94,1284.95,5.6,Two year,Credit card,0
SYN-00179,64,25.72,1591.51,5.84,Month-to-month,Mailed check,0
SYN-00180,36,100.1,3592.88,40.66,Two year,Electronic check,1
SYN-00181,67,112.78,6870.2,11.87,Two year,Bank transfer,0
SYN-00182,11,97.21,988.31,6.47,Month-to-month,Credit card,0
SYN-00183,36,89.81,3009.98,0.47,One year,Credit card,0
SYN-00184,50,103.8,5200.4,1.48,Two year,Electronic check,1
SYN-00185,36,24.02,868.59,3.68,Two year,Mailed check,0
SYN-00186,32,40.18,1146.08,4.02,Two year,Mailed check,0
SYN-00187,12,32.49,404.82,9.1,One year,Electronic check,1
SYN-00188,28,70.45,1724.31,13.59,Month-to-month,Credit card,0
SYN-00189,17,94.52,1653.8,4.21,Two year,Electronic check,0
SYN-00190,22,83.0,1588.76,13.01,One year,Bank transfer,0
SYN-00191,49,105.11,4650.33,8.41,One year,Credit card,1
SYN-00192,45,35.52,1629.24,26.69,Month-to-month,Bank transfer,0
SYN-00193,44,93.46,3643.03,11.5,One year,Credit card,0
SYN-00194,26,39.3,953.05,10.5,Month-to-month,Mailed check,0
SYN-00195,69,47.08,3053.52,7.25,One year,Credit card,1
SYN-00196,7,90.99,572.63,10.03,Month-to-month,Mailed check,0
SYN-00197,25,118.02,2927.04,5.47,One year,Electronic check,0
SYN-00198,9,81.15,745.15,4.32,Two year,Mailed check,1
SYN-00199,25,25.45,652.1,12.99,Month-to-month,Mailed check,0
SYN-00200,69,81.63,5169.84,6.09,One year,Bank transfer,0
SYN-00201,27,24.24,625.79,5.81,Month-to-month,Mailed check,0
SYN-00202,65,108.41,6339.74,47.89,Two year,Mailed check,1
SYN-00203,36,90.96,2943.7,17.37,One year,Mailed check,0
SYN-00204,50,37.31,1645.84,7.62,Month-to-month,Mailed check,0
SYN-00205,33,29.17,999.19,16.63,Month-to-month,Bank transfer,0
SYN-00206,19,38.35,748.76,26.99,Month-to-month,Mailed check,1
SYN-00207,55,118.0,6525.51,59.37,Month-to-month,Credit card,1
SYN-00208,69,65.86,4333.17,12.53,Two year,Mailed check,0
SYN-00209,19,98.41,1772.79,0.87,One year,Credit card,0
SYN-00210,56,83.64,4477.51,10.75,Month-to-month,Mailed check,1
SYN-00211,19,77.24,1404.92,1.29,Two year,Electronic check,0
SYN-00212,51,34.51,1648.98,51.27,Month-to-month,Electronic check,0
SYN-00213,57,114.6,5724.5,2.34,Two year,Credit card,0
SYN-00214,32,50.13,1403.85,1.07,Month-to-month,Credit card,0
SYN-00215,53,77.8,4290.19,34.67,One year,Electronic check,0
SYN-00216,20,89.98,1703.15,8.65,Two year,Bank transfer,0
SYN-00217,6,84.92,530.23,10.82,Month-to-month,Bank transfer,0
SYN-00218,7,114.06,704.78,8.78,One year,Electronic check,0
SYN-00219,32,34.84,1071.27,39.81,Two year,Mailed check,0
SYN-00220,65,70.84,4105.2,13.09,Month-to-month,Bank transfer,0
SYN-00221,10,60.4,543.98,9.64,Month-to-month,Credit card,0
SYN-00222,33,67.42,1904.5,1.7,One year,Credit card,1
SYN-00223,50,31.92,1394.57,43.93,Month-to-month,Electronic check,0
SYN-00224,15,33.41,517.87,3.94,Month-to-month,Electronic check,1
SYN-00225,52,47.81,2273.08,41.46,Month-to-month,Mailed check,0
SYN-00226,22,50.47,1078.84,0.74,One year,Electronic check,1
SYN-00227,58,62.79,3434.25,30.64,Month-to-month,Bank transfer,0
SYN-00228,42,81.1,3168.07,8.42,Month-to-month,Electronic check,0
SYN-00229,39,83.46,3112.95,65.01,Two year,Electronic check,0
SYN-00230,13,61.18,705.82,26.64,One year,Electronic check,0
SYN-00231,33,60.88,2104.91,1.94,Two year,Mailed check,0
SYN-00232,61,41.76,2582.16,2.04,Month-to-month,Credit card,0
SYN-00233,2,78.83,157.4,5.9,Two year,Electronic check,1
SYN-00234,54,51.7,2634.77,52.54,One year,Credit card,0
SYN-00235,35,23.61,727.66,13.46,Month-to-month,Mailed check,1
SYN-00236,52,61.84,3325.44,13.26,Two year,Electronic check,1
SYN-00237,48,67.41,2971.25,26.73,Month-to-month,Mailed check,1
SYN-00238,31,42.56,1134.68,18.45,Month-to-month,Bank transfer,0
SYN-00239,22,77.25,1560.96,17.84,Month-to-month,Electronic check,0
SYN-00240,45,76.58,3476.74,28.78,One year,Electronic check,0
SYN-00241,10,90.2,879.04,12.72,Month-to-month,Credit card,0
SYN-00242,42,84.79,3561.78,19.8,Month-to-month,Bank transfer,1
SYN-00243,7,85.24,601.89,7.46,Month-to-month,Mailed check,0
SYN-00244,47,51.62,2165.07,11.3,Month-to-month,Credit card,0
SYN-00245,45,98.74,4597.73,14.58,Month-to-month,Credit card,0
SYN-00246,6,74.91,421.41,7.53,One year,Mailed check,1
SYN-00247,54,63.14,3333.88,25.87,Month-to-month,Bank transfer,0
SYN-00248,30,82.6,2107.44,35.73,Month-to-month,Electronic check,0
SYN-00249,56,56.07,3292.75,2.76,One year,Mailed check,1
SYN-00250,3,71.27,193.75,27.59,Month-to-month,Bank transfer,1
SYN-00251,13,93.67,1050.17,1.03,One year,Electronic check,0
SYN-00252,36,108.64,3682.84,3.53,Month-to-month,Credit card,1
SYN-00253,14,112.11,1374.61,12.71,Month-to-month,Credit card,1
SYN-00254,24,70.36,1486.79,28.97,Month-to-month,Mailed check,0
SYN-00255,47,72.03,3305.71,54.81,Month-to-month,Mailed check,1
SYN-00256,11,99.99,1021.34,15.64,Month-to-month,Electronic check,0
SYN-00257,49,51.45,2607.7,0.89,Two year,Bank transfer,0
SYN-00258,8,103.74,758.41,22.89,Month-to-month,Electronic check,0
SYN-00259,13,69.41,898.03,3.48,One year,Mailed check,0
SYN-00260,42,31.59,1250.12,3.78,One year,Bank transfer,0
SYN-00261,57,27.21,1523.04,1.42,Month-to-month,Bank transfer,0
SYN-00262,13,104.2,1313.88,9.94,One year,Bank transfer,0
SYN-00263,22,25.56,531.14,6.05,Month-to-month,Electronic check,0
SYN-00264,66,48.06,3298.88,30.68,Month-to-month,Credit card,0
SYN-00265,71,53.41,3483.22,18.97,Month-to-month,Bank transfer,0
SYN-00266,42,37.3,1387.14,6.58,One year,Credit card,0
SYN-00267,32,51.39,1620.83,5.44,Two year,Mailed check,0
SYN-00268,25,94.27,2402.0,10.77,Month-to-month,Credit card,0
SYN-00269,44,21.47,810.58,4.31,One year,Mailed check,1
SYN-00270,42,102.72,4055.07,0.78,One year,Credit card,0
SYN-00271,21,105.65,2281.88,6.62,Month-to-month,Electronic check,1
SYN-00272,2,57.23,114.45,4.34,One year,Electronic check,0
SYN-00273,11,35.36,407.77,19.61,One year,Bank transfer,1
SYN-00274,69,80.08,5283.96,15.87,Two year,Bank transfer,1
SYN-00275,30,31.97,941.84,3.87,Two year,Bank transfer,1
SYN-00276,35,56.49,1800.19,29.89,Month-to-month,Mailed check,0
SYN-00277,34,115.84,4094.16,12.4,Month-to-month,Credit card,0
SYN-00278,56,119.55,6181.09,45.2,One year,Mailed check,0
SYN-00279,5,97.21,484.93,22.32,Month-to-month,Bank transfer,0
SYN-00280,6,51.1,285.33,34.84,Month-to-month,Credit card,1
SYN-00281,20,88.77,1708.58,47.68,Two year,Bank transfer,1
SYN-00282,35,90.54,3149.75,7.74,Month-to-month,Bank transfer,0
SYN-00283,48,58.78,2685.41,16.51,Month-to-month,Credit card,0
SYN-00284,35,84.09,3035.62,2.6,Two year,Credit card,0
SYN-00285,32,21.07,629.65,4.17,Month-to-month,Mailed check,0
SYN-00286,67,40.91,2684.55,3.43,Month-to-month,Mailed check,0
SYN-00287,12,72.51,799.18,9.27,Two year,Electronic check,0
SYN-00288,41,36.38,1389.6,18.7,Month-to-month,Bank transfer,1
SYN-00289,39,36.59,1338.55,12.66,Month-to-month,Credit card,0
SYN-00290,34,103.63,3083.56,0.43,Month-to-month,Mailed check,0
SYN-00291,58,118.91,5988.78,3.64,Two year,Mailed check,0
SYN-00292,19,75.6,1412.7,18.74,Month-to-month,Electronic check,1
SYN-00293,68,103.91,6932.36,15.23,One year,Mailed check,0
SYN-00294,24,119.03,2806.96,4.79,Month-to-month,Electronic check,0
SYN-00295,39,34.16,1137.67,5.48,Month-to-month,Credit card,0
SYN-00296,37,64.82,2195.22,22.64,Two year,Bank transfer,0
SYN-00297,61,59.26,3215.64,10.99,One year,Electronic check,0
SYN-00298,32,28.0,901.04,13.63,Two year,Electronic check,0
SYN-00299,21,95.53,2050.52,8.54,Month-to-month,Credit card,0
SYN-00300,2,63.38,114.0,20.45,One year,Credit card,1
SYN-00301,26,66.93,1711.59,33.45,Two year,Credit card,0
SYN-00302,59,35.07,1812.29,50.31,Month-to-month,Electronic check,0
SYN-00303,1,38.09,34.47,16.85,Month-to-month,Electronic check,0
SYN-00304,64,110.71,6219.11,7.75,Two year,Electronic check,1
SYN-00305,39,24.46,864.94,2.37,Month-to-month,Credit card,1
SYN-00306,10,43.29,426.38,0.55,One year,Credit card,1
SYN-00307,22,49.21,1117.33,46.37,Two year,Credit card,0
SYN-00308,40,69.02,2458.5,20.26,Month-to-month,Electronic check,0
SYN-00309,23,78.64,1733.51,7.45,Month-to-month,Electronic check,1
SYN-00310,8,69.33,549.25,14.34,Month-to-month,Credit card,1
SYN-00311,48,28.41,1419.02,28.33,Month-to-month,Credit card,0
SYN-00312,48,44.37,2070.15,58.28,Month-to-month,Bank transfer,0
SYN-00313,9,104.36,846.28,3.32,One year,Electronic check,0
SYN-00314,20,83.76,1633.48,13.61,Month-to-month,Electronic check,1
SYN-00315,18,84.91,1397.09,23.87,One year,Electronic check,0
SYN-00316,47,87.02,4274.91,69.73,Month-to-month,Bank transfer,0
SYN-00317,52,96.29,4656.26,21.31,Month-to-month,Credit card,0
SYN-00318,52,25.81,1324.79,14.65,Month-to-month,Bank transfer,0
SYN-00319,67,56.66,3244.42,17.3,One year,Mailed check,0
SYN-00320,55,73.95,3782.59,5.3,Month-to-month,Credit card,0
SYN-00321,23,53.85,1269.54,17.22,Month-to-month,Electronic check,1
SYN-00322,8,104.45,812.24,29.74,Two year,Credit card,0
SYN-00323,44,68.26,2819.6,4.63,One year,Credit card,0
SYN-00324,66,96.86,6630.49,40.38,Month-to-month,Bank transfer,0
SYN-00325,70,105.2,7517.15,1.65,Two year,Credit card,0
SYN-00326,17,70.48,1095.65,7.31,Month-to-month,Bank transfer,0
SYN-00327,17,110.96,1808.81,2.72,Month-to-month,Mailed check,0
SYN-00328,3,78.71,223.84,1.28,Month-to-month,Mailed check,0
SYN-00329,11,105.03,1128.11,55.16,Month-to-month,Credit card,1
SYN-00330,40,54.06,1982.54,4.76,Month-to-month,Bank transfer,0
SYN-00331,39,69.88,2449.63,10.81,One year,Electronic check,0
SYN-00332,27,73.14,2039.03,14.74,Month-to-month,Credit card,0
SYN-00333,23,30.5,725.89,2.11,Two year,Electronic check,1
SYN-00334,59,59.86,3597.66,5.17,Two year,Bank transfer,0
SYN-00335,33,111.73,3855.37,4.89,One year,Electronic check,1
SYN-00336,58,83.08,4813.81,5.59,One year,Bank transfer,1
SYN-00337,69,37.75,2612.39,9.89,One year,Mailed check,0
SYN-00338,23,53.89,1242.59,6.08,Two year,Mailed check,0
SYN-00339,15,39.16,555.75,25.28,Month-to-month,Bank transfer,1
SYN-00340,68,22.48,1438.89,10.82,Month-to-month,Credit card,0
SYN-00341,46,112.75,4657.71,7.84,One year,Mailed check,0
SYN-00342,21,64.82,1332.59,3.89,One year,Credit card,0
SYN-00343,45,50.75,2073.33,21.54,Month-to-month,Mailed check,0
SYN-00344,37,79.85,2663.62,7.3,One year,Electronic check,0
SYN-00345,65,20.73,1303.24,7.37,Month-to-month,Electronic check,0
SYN-00346,19,47.8,846.44,49.94,Two year,Electronic check,0
SYN-00347,71,90.3,5730.24,0.89,Month-to-month,Bank transfer,0
SYN-00348,67,83.38,5660.26,7.87,Month-to-month,Bank transfer,0
SYN-00349,13,118.18,1570.31,13.86,Month-to-month,Mailed check,1
SYN-00350,12,82.04,869.83,20.71,Month-to-month,Mailed check,0
SYN-00351,38,67.75,2192.19,19.84,Month-to-month,Credit card,0
SYN-00352,4,96.14,352.73,4.87,Month-to-month,Bank transfer,0
SYN-00353,22,110.33,2450.32,0.11,Month-to-month,Electronic check,0
SYN-00354,31,92.07,2905.07,16.58,Month-to-month,Electronic check,0
SYN-00355,69,116.32,7044.22,13.37,Month-to-month,Mailed check,0
SYN-00356,71,98.2,7006.13,1.38,Month-to-month,Mailed check,0
SYN-00357,11,106.68,1024.61,10.61,Month-to-month,Credit card,0
SYN-00358,64,31.41,1865.53,3.08,Month-to-month,Bank transfer,0
SYN-00359,7,93.24,685.13,1.82,Month-to-month,Credit card,0
SYN-00360,54,64.01,3071.2,12.8,Month-to-month,Bank transfer,0
SYN-00361,61,75.31,4046.28,16.82,Month-to-month,Mailed check,0
SYN-00362,64,85.41,5108.53,14.52,One year,Bank transfer,0
SYN-00363,16,116.98,1822.89,5.52,Two year,Bank transfer,0
SYN-00364,64,118.46,7858.77,13.89,Two year,Bank transfer,0
SYN-00365,9,48.82,459.66,9.16,One year,Electronic check,0
SYN-00366,37,93.38,2984.92,10.79,One year,Bank transfer,0
SYN-00367,34,95.0,2834.65,19.1,Month-to-month,Mailed check,0
SYN-00368,23,54.65,1267.19,13.56,One year,Credit card,1
SYN-00369,2,32.39,58.57,14.94,One year,Credit card,0
SYN-00370,55,24.09,1360.68,24.63,Two year,Bank transfer,0
SYN-00371,24,97.73,2304.92,6.93,Two year,Credit card,0
SYN-00372,47,68.97,2827.86,11.13,Month-to-month,Bank transfer,1
SYN-00373,30,118.55,3615.2,15.54,One year,Electronic check,0
SYN-00374,27,66.5,1589.5,26.7,Two year,Bank transfer,0
SYN-00375,63,117.79,6936.19,4.44,Month-to-month,Credit card,1
SYN-00376,7,61.16,411.18,22.02,Two year,Electronic check,0
SYN-00377,53,99.37,5004.09,4.84,Month-to-month,Electronic check,1
SYN-00378,54,28.48,1518.28,5.96,Two year,Mailed check,0
SYN-00379,27,75.55,2000.15,8.25,One year,Credit card,0
SYN-00380,19,100.21,1996.16,1.74,Month-to-month,Bank transfer,0
SYN-00381,1,112.47,118.08,32.37,One year,Credit card,0
SYN-00382,67,102.26,6531.4,29.6,Month-to-month,Credit card,1
SYN-00383,68,23.7,1400.54,46.06,One year,Bank transfer,0
SYN-00384,18,57.27,1026.29,13.51,One year,Bank transfer,1
SYN-00385,3,24.87,77.99,17.03,One year,Mailed check,0
SYN-00386,9,30.93,254.34,5.29,Two year,Electronic check,0
SYN-00387,5,87.53,412.37,0.43,Month-to-month,Mailed check,1
SYN-00388,60,91.33,5123.37,19.93,Month-to-month,Bank transfer,0
SYN-00389,64,97.37,5361.01,3.3,Month-to-month,Electronic check,1
SYN-00390,11,106.55,1153.83,4.33,Month-to-month,Electronic check,0
SYN-00391,54,93.94,4670.33,74.7,Month-to-month,Electronic check,0
SYN-00392,13,100.09,1310.92,2.49,Month-to-month,Bank transfer,0
SYN-00393,27,24.9,683.34,1.39,Month-to-month,Credit card,0
SYN-00394,43,43.45,1894.97,1.17,Month-to-month,Credit card,0
SYN-00395,52,82.19,3988.95,16.02,Two year,Mailed check,0
SYN-00396,63,105.81,6094.81,6.71,Month-to-month,Bank transfer,0
SYN-00397,4,20.45,81.78,6.08,Two year,Credit card,0
SYN-00398,14,71.46,1010.72,11.95,Month-to-month,Bank transfer,1
